Start Date,End Date,Period Type,Period Number
2019-12-30,2020-01-12,Bi-Weekly,0
2020-01-13,2020-01-26,Bi-Weekly,1
2020-01-27,2020-02-09,Bi-Weekly,2
2020-02-10,2020-02-23,Bi-Weekly,3
2020-02-24,2020-03-08,Bi-Weekly,4
2020-03-09,2020-03-22,Bi-Weekly,5
2020-03-23,2020-04-05,Bi-Weekly,6
2020-04-06,2020-04-19,Bi-Weekly,7
2020-04-20,2020-05-03,Bi-Weekly,8
2020-05-04,2020-05-17,Bi-Weekly,9
2020-05-18,2020-05-31,Bi-Weekly,10
2020-06-01,2020-06-14,Bi-Weekly,11
2020-06-15,2020-06-28,Bi-Weekly,12
2020-06-29,2020-07-12,Bi-Weekly,13
2020-07-13,2020-07-26,Bi-Weekly,14
2020-07-27,2020-08-09,Bi-Weekly,15
2020-08-10,2020-08-23,Bi-Weekly,16
2020-08-24,2020-09-06,Bi-Weekly,17
2020-09-07,2020-09-20,Bi-Weekly,18
2020-09-21,2020-10-04,Bi-Weekly,19
2020-10-05,2020-10-18,Bi-Weekly,20
2020-10-19,2020-11-01,Bi-Weekly,21
2020-11-02,2020-11-15,Bi-Weekly,22
2020-11-16,2020-11-29,Bi-Weekly,23
2020-11-30,2020-12-13,Bi-Weekly,24
2020-12-14,2020-12-27,Bi-Weekly,25
2020-12-28,2021-01-10,Bi-Weekly,26
2021-01-11,2021-01-24,Bi-Weekly,27
2021-01-25,2021-02-07,Bi-Weekly,28
2021-02-08,2021-02-21,Bi-Weekly,29
2021-02-22,2021-03-07,Bi-Weekly,30
2021-03-08,2021-03-21,Bi-Weekly,31
2021-03-22,2021-04-04,Bi-Weekly,32
2021-04-05,2021-04-18,Bi-Weekly,33
2021-04-19,2021-05-02,Bi-Weekly,34
2021-05-03,2021-05-16,Bi-Weekly,35
2021-05-17,2021-05-30,Bi-Weekly,36
2021-05-31,2021-06-13,Bi-Weekly,37
2021-06-14,2021-06-27,Bi-Weekly,38
2021-06-28,2021-07-11,Bi-Weekly,39
2021-07-12,2021-07-25,Bi-Weekly,40
2021-07-26,2021-08-08,Bi-Weekly,41
2021-08-09,2021-08-22,Bi-Weekly,42
2021-08-23,2021-09-05,Bi-Weekly,43
2021-09-06,2021-09-19,Bi-Weekly,44
2021-09-20,2021-10-03,Bi-Weekly,45
2021-10-04,2021-10-17,Bi-Weekly,46
2021-10-18,2021-10-31,Bi-Weekly,47
2021-11-01,2021-11-14,Bi-Weekly,48
2021-11-15,2021-11-28,Bi-Weekly,49
2021-11-29,2021-12-12,Bi-Weekly,50
2021-12-13,2021-12-26,Bi-Weekly,51
2021-12-27,2022-01-09,Bi-Weekly,52
2022-01-10,2022-01-23,Bi-Weekly,53
2022-01-24,2022-02-06,Bi-Weekly,54
2022-02-07,2022-02-20,Bi-Weekly,55
2022-02-21,2022-03-06,Bi-Weekly,56
2022-03-07,2022-03-20,Bi-Weekly,57
2022-03-21,2022-04-03,Bi-Weekly,58
2022-04-04,2022-04-17,Bi-Weekly,59
2022-04-18,2022-05-01,Bi-Weekly,60
2022-05-02,2022-05-15,Bi-Weekly,61
2022-05-16,2022-05-29,Bi-Weekly,62
2022-05-30,2022-06-12,Bi-Weekly,63
2022-06-13,2022-06-26,Bi-Weekly,64
2022-06-27,2022-07-10,Bi-Weekly,65
2022-07-11,2022-07-24,Bi-Weekly,66
2022-07-25,2022-08-07,Bi-Weekly,67
2022-08-08,2022-08-21,Bi-Weekly,68
2022-08-22,2022-09-04,Bi-Weekly,69
2022-09-05,2022-09-18,Bi-Weekly,70
2022-09-19,2022-10-02,Bi-Weekly,71
2022-10-03,2022-10-16,Bi-Weekly,72
2022-10-17,2022-10-30,Bi-Weekly,73
2022-10-31,2022-11-13,Bi-Weekly,74
2022-11-14,2022-11-27,Bi-Weekly,75
2022-11-28,2022-12-11,Bi-Weekly,76
2022-12-12,2022-12-25,Bi-Weekly,77
2022-12-26,2023-01-08,Bi-Weekly,78
2023-01-09,2023-01-22,Bi-Weekly,79
2023-01-23,2023-02-05,Bi-Weekly,80
2023-02-06,2023-02-19,Bi-Weekly,81
2023-02-20,2023-03-05,Bi-Weekly,82
2023-03-06,2023-03-19,Bi-Weekly,83
2023-03-20,2023-04-02,Bi-Weekly,84
2023-04-03,2023-04-16,Bi-Weekly,85
2023-04-17,2023-04-30,Bi-Weekly,86
2023-05-01,2023-05-14,Bi-Weekly,87
2023-05-15,2023-05-28,Bi-Weekly,88
2023-05-29,2023-06-11,Bi-Weekly,89
2023-06-12,2023-06-25,Bi-Weekly,90
2023-06-26,2023-07-09,Bi-Weekly,91
2023-07-10,2023-07-23,Bi-Weekly,92
2023-07-24,2023-08-06,Bi-Weekly,93
2023-08-07,2023-08-20,Bi-Weekly,94
2023-08-21,2023-09-03,Bi-Weekly,95
2023-09-04,2023-09-17,Bi-Weekly,96
2023-09-18,2023-10-01,Bi-Weekly,97
2023-10-02,2023-10-15,Bi-Weekly,98
2023-10-16,2023-10-29,Bi-Weekly,99
2023-10-30,2023-11-12,Bi-Weekly,100
2023-11-13,2023-11-26,Bi-Weekly,101
2023-11-27,2023-12-10,Bi-Weekly,102
2023-12-11,2023-12-24,Bi-Weekly,103
2023-12-25,2023-12-31,Bi-Weekly,104
